state,model,action
0,ghost,0
0,bistable,0
1,ghost,2
1,bistable,2
2,ghost,3
2,bistable,3
3,ghost,7
3,bistable,0
4,ghost,8
4,bistable,0
5,ghost,12
5,bistable,0
6,ghost,13
6,bistable,0
7,ghost,17
7,bistable,0
8,ghost,18
8,bistable,0
9,ghost,22
9,bistable,0
10,ghost,23
10,bistable,0
11,ghost,27
11,bistable,0
12,ghost,28
12,bistable,0
13,ghost,32
13,bistable,0
14,ghost,33
14,bistable,0
15,ghost,37
15,bistable,0
16,ghost,38
16,bistable,0
17,ghost,42
17,bistable,0
18,ghost,43
18,bistable,0
19,ghost,47
19,bistable,0
20,ghost,48
20,bistable,0
21,ghost,52
21,bistable,0
22,ghost,53
22,bistable,0
23,ghost,57
23,bistable,0
24,ghost,58
24,bistable,0
25,ghost,62
25,bistable,0
26,ghost,63
26,bistable,0
27,ghost,67
27,bistable,0
28,ghost,68
28,bistable,0
29,ghost,72
29,bistable,0
30,ghost,73
30,bistable,0
31,ghost,77
31,bistable,2
32,ghost,78
32,bistable,5
33,ghost,82
33,bistable,7
34,ghost,83
34,bistable,10
35,ghost,87
35,bistable,12
36,ghost,88
36,bistable,15
37,ghost,92
37,bistable,17
38,ghost,93
38,bistable,20
39,ghost,97
39,bistable,22
40,ghost,98
40,bistable,25
41,ghost,102
41,bistable,27
42,ghost,103
42,bistable,30
43,ghost,107
43,bistable,32
44,ghost,108
44,bistable,35
45,ghost,112
45,bistable,37
46,ghost,113
46,bistable,40
47,ghost,117
47,bistable,42
48,ghost,118
48,bistable,45
49,ghost,62
49,bistable,47
50,ghost,65
50,bistable,50
51,ghost,67
51,bistable,52
52,ghost,70
52,bistable,55
53,ghost,72
53,bistable,57
54,ghost,75
54,bistable,60
55,ghost,77
55,bistable,62
56,ghost,80
56,bistable,65
57,ghost,82
57,bistable,67
58,ghost,85
58,bistable,70
59,ghost,87
59,bistable,72
60,ghost,90
60,bistable,75
61,ghost,92
61,bistable,77
62,ghost,95
62,bistable,80
63,ghost,97
63,bistable,82
64,ghost,100
64,bistable,85
65,ghost,102
65,bistable,87
66,ghost,105
66,bistable,90
67,ghost,107
67,bistable,92
68,ghost,110
68,bistable,95
69,ghost,112
69,bistable,97
70,ghost,115
70,bistable,100
71,ghost,117
71,bistable,102
72,ghost,120
72,bistable,105
73,ghost,120
73,bistable,107
74,ghost,120
74,bistable,110
75,ghost,120
75,bistable,112
76,ghost,120
76,bistable,115
77,ghost,120
77,bistable,117
78,ghost,120
78,bistable,120
79,ghost,120
79,bistable,120
80,ghost,120
80,bistable,120
81,ghost,120
81,bistable,120
82,ghost,120
82,bistable,120
83,ghost,120
83,bistable,120
84,ghost,120
84,bistable,120
85,ghost,120
85,bistable,120
86,ghost,120
86,bistable,120
87,ghost,120
87,bistable,120
88,ghost,120
88,bistable,120
89,ghost,120
89,bistable,120
90,ghost,120
90,bistable,120
91,ghost,120
91,bistable,120
92,ghost,120
92,bistable,120
93,ghost,120
93,bistable,120
94,ghost,120
94,bistable,120
95,ghost,120
95,bistable,120
96,ghost,120
96,bistable,120
97,ghost,120
97,bistable,120
98,ghost,120
98,bistable,120
99,ghost,120
99,bistable,120
100,ghost,120
100,bistable,120
101,ghost,120
101,bistable,120
102,ghost,120
102,bistable,120
103,ghost,120
103,bistable,120
104,ghost,120
104,bistable,120
105,ghost,120
105,bistable,120
106,ghost,120
106,bistable,120
107,ghost,120
107,bistable,120
108,ghost,120
108,bistable,120
109,ghost,120
109,bistable,120
110,ghost,120
110,bistable,120
111,ghost,120
111,bistable,120
112,ghost,120
112,bistable,120
113,ghost,120
113,bistable,120
114,ghost,120
114,bistable,120
115,ghost,120
115,bistable,120
116,ghost,120
116,bistable,120
117,ghost,120
117,bistable,120
118,ghost,120
118,bistable,120
119,ghost,120
119,bistable,120
120,ghost,120
120,bistable,120
